cluster,loan_count,default_rate,avg_int_rate,avg_dti,avg_income
0,408975,0.15229048230331926,11.925443706828045,-inf,11.139312710906538
1,390392,0.19745281665607903,13.204018857968402,3.029452064114199,10.72570494032223
2,315677,0.3288868051837796,16.955144942457004,-inf,11.189817309070675
3,230306,0.11033147204154473,10.541358583797209,2.0418474806083653,11.43588081526327
